ID,BASE_ID,VERSION,MATRIX_BASE_ID,MATRIX_VERSION,NAME,LOG_P_1ST_ORDER,LOG_P_DETAILED,EXPERIMENT_NAME
205,TFFM0191,1,MA0825,1,MNT,-3875.1,-2436.14,ENCSR663ZZZ.mnt.mcf7
206,TFFM0192,1,MA0089,1,NFE2L1,-2782.46,-4224.15,ENCSR632SHZ.nfe2l1.k562
207,TFFM0193,1,MA0778,1,NFKB2,-13165.4,-13015.5,GSE63736.nfkb2.l1236
208,TFFM0194,1,MA0017,2,NR2F1,-6627.73,-6578.91,ENCSR970NKQ.nr2f1.k562
209,TFFM0195,1,MA0677,1,NR2F6,-6888.69,-5405.63,ENCSR518WPL.nr2f6.hepg2
210,TFFM0196,1,MA0679,1,ONECUT1,-30898.8,-30919.4,ERP004206.onecut1.esc_h9
211,TFFM0197,1,MA0712,1,OTX2,-3346.57,-3476.37,GSE60024.otx2.retinal_pigment
212,TFFM0198,1,MA0132,2,PDX1,-6432.81,-7795.89,ERP001456.pdx1.islet
213,TFFM0199,1,MA0794,1,PROX1,-503.252,-548.464,GSE60390.prox1.sw480
214,TFFM0200,1,MA0107,1,RELA,-16276.3,-16621.2,GSE64233.rela.sgbs_tnf
215,TFFM0201,1,MA0513,1,SMAD2,-969.093,-964.027,GSE29422.smad2.endoderm
216,TFFM0202,1,MA0795,1,SMAD3,-365.7,-385.674,GSE38103.smad3.lx2_calcipotriol_tgfb1
217,TFFM0203,1,MA0745,1,SNAI2,-41620.3,-41374.4,GSE55421.snai2.keratinocyte_snai2_diff
218,TFFM0204,1,MA0081,1,SPIB,-3889.4,-6465.19,GSE56857.spib.ocily3_shctr
219,TFFM0205,1,MA0595,1,SREBF1,-4833.73,-4846.69,ENCSR197DJH.srebf1.mcf7
220,TFFM0206,1,MA0829,1,SREBF1(VAR.2),-4837.8,-4891.19,ENCSR197DJH.srebf1.mcf7
221,TFFM0207,1,MA0517,1,STAT2,-632.748,-618.7,ENCSR000FBC.stat2.k562
222,TFFM0208,1,MA0690,1,TBX21,-2155.67,-1539.17,ENCSR739IHN.tbx21.gm12878
223,TFFM0209,1,MA0769,1,TCF7,-1610.64,-1608.29,ENCSR501DKS.tcf7.gm12878
224,TFFM0210,1,MA0090,2,TEAD1,-12801.8,-13599.3,ERP008682.tead1.pancreas_12d
225,TFFM0211,1,MA0815,1,TFAP2C(VAR.3),-36573.9,-36690.8,GSE36351.tfap2c.skbr3
226,TFFM0212,1,MA0691,1,TFAP4,-15548.6,-15398.6,ENCSR103SZL.tfap4.hepg2
227,TFFM0213,1,MA0597,1,THAP1,-123.544,-593.058,ENCSR000BNN.thap1.k562
228,TFFM0214,1,MA0844,1,XBP1,-2134.98,-2944.27,GSE49952.xbp1.mdamb231_hypo_gludep
229,TFFM0215,1,MA0941,1,ABF2,-7773.86,-7761.39,GSE60143
230,TFFM0216,1,MA0931,1,ABI5,-14413.8,-14596.8,GSE60143
231,TFFM0217,1,MA1244,1,ABR1,-1516.66,-1485.33,GSE60143
232,TFFM0218,1,MA1277,1,Adof1,-3169.84,-3174.38,GSE60143
233,TFFM0219,1,MA0548,2,AGL15,-3163.66,-3184.64,GSE60143
234,TFFM0220,1,MA1203,1,AGL63,-31309,-31859.8,GSE60143
235,TFFM0221,1,MA1235,1,AIL7,-847.427,-962.415,GSE60143
236,TFFM0222,1,MA0937,1,NAC055,-13894.6,-13984.7,GSE60143
237,TFFM0223,1,MA0938,1,NAC058,-13124.1,-13354.1,GSE60143
238,TFFM0224,1,MA1043,1,NAC083,-14034.7,-13865.8,GSE60143
239,TFFM0225,1,MA1375,1,ANL2,-12622.3,-12572.8,GSE60143
240,TFFM0226,1,MA1338,1,AREB3,-14313.4,-14325.1,GSE60143
241,TFFM0227,1,MA1206,1,ARF2,-5754.53,-5533.85,GSE60143
242,TFFM0228,1,MA1259,1,AT1G01250,-1415.72,-1425.14,GSE60143
243,TFFM0229,1,MA1227,1,AT1G12630,-7724.71,-7681.67,GSE60143
244,TFFM0230,1,MA1400,1,At1g19000,-28937.6,-28467.2,GSE60143
245,TFFM0231,1,MA1234,1,At1g19210,-7609.87,-7577.47,GSE60143
246,TFFM0232,1,MA1386,1,At1g25550,-10037.4,-10086.4,GSE60143
247,TFFM0233,1,MA1247,1,AT1G28160,-323.213,-304.412,GSE60143
248,TFFM0234,1,MA1263,1,At1g36060,-581.742,-581.405,GSE60143
249,TFFM0235,1,MA1222,1,AT1G44830,-1339.14,-1598.43,GSE60143
250,TFFM0236,1,MA1275,1,AT1G47655,-760.155,-708.258,GSE60143
251,TFFM0237,1,MA1186,1,At1g49010,-20858,-20224.1,GSE60143
252,TFFM0238,1,MA1165,1,AT1G49560,-8761.23,-10010.1,GSE60143
253,TFFM0239,1,MA0981,1,DOF1.8,-6921.98,-6467.29,GSE60143
254,TFFM0240,1,MA1390,1,At1g68670,-8656.37,-9479.8,GSE60143
255,TFFM0241,1,MA1268,1,AT1G69570,-2028.91,-1763.57,GSE60143
256,TFFM0242,1,MA1062,1,TCP15,-2825.67,-2966.48,GSE60143
257,TFFM0243,1,MA1288,1,At1g72010,-6907.88,-6896.35,GSE60143
258,TFFM0244,1,MA1353,1,AT1G72740,-3732.66,-3574.02,GSE60143
259,TFFM0245,1,MA1397,1,At1g74840,-18195.4,-18417.4,GSE60143
260,TFFM0246,1,MA1366,1,AT1G76880,-399.329,-389.087,GSE60143
261,TFFM0247,1,MA1230,1,AT1G77200,-13554.9,-13504.7,GSE60143
262,TFFM0248,1,MA1331,1,At1g78700,-15437.1,-15454.3,GSE60143
263,TFFM0249,1,MA1384,1,At2g01060,-15471.7,-15403.9,GSE60143
264,TFFM0250,1,MA1167,1,At2g03500,-23525.6,-23659.7,GSE60143
265,TFFM0251,1,MA1380,1,AT2G20110,-2241.81,-2239.42,GSE60143
266,TFFM0252,1,MA1272,1,AT2G28810,-5572.71,-5025.89,GSE60143
267,TFFM0253,1,MA1245,1,At2g33710,-3654.78,-3552.37,GSE60143
268,TFFM0254,1,MA1385,1,AT2G40260,-6180.34,-6159.67,GSE60143
269,TFFM0255,1,MA1285,1,At2g45680,-1088.89,-1109.07,GSE60143
270,TFFM0256,1,MA1168,1,At3g04030,-26703.8,-25941.3,GSE60143
271,TFFM0257,1,MA1182,1,At3g09600,-23327.9,-24473,GSE60143
272,TFFM0258,1,MA1191,1,AT3G10113,-53915,-54135.2,GSE60143
273,TFFM0259,1,MA1188,1,At3g11280,-1779.73,-1593.53,GSE60143
274,TFFM0260,1,MA1388,1,At3g24120,-51990,-49502.2,GSE60143
275,TFFM0261,1,MA1270,1,At3g45610,-11411.6,-10450,GSE60143
276,TFFM0262,1,MA1276,1,AT3G52440,-6824.65,-6350.41,GSE60143
277,TFFM0263,1,MA1190,1,At4g01280,-16756.2,-16936.8,GSE60143
278,TFFM0264,1,MA1237,1,At4g16750,-19155.4,-18926.9,GSE60143
279,TFFM0265,1,MA1228,1,AT4G18450,-196.246,-212.825,GSE60143
280,TFFM0266,1,MA1333,1,At4g18890,-2198.45,-2219.98,GSE60143
281,TFFM0267,1,MA1265,1,At4g31060,-2713.84,-2495.04,GSE60143
282,TFFM0268,1,MA1241,1,At4g32800,-11146.1,-11106.4,GSE60143
283,TFFM0269,1,MA1332,1,At4g36780,-21057,-21019.1,GSE60143
284,TFFM0270,1,MA1164,1,AT4G37180,-13419,-13275.1,GSE60143
285,TFFM0271,1,MA1281,1,AT5G02460,-8708.33,-8105.56,GSE60143
286,TFFM0272,1,MA1196,1,At5g05790,-3201.35,-2933.91,GSE60143
287,TFFM0273,1,MA1287,1,At5g08330,-9349.45,-9397.47,GSE60143
288,TFFM0274,1,MA1399,1,At5g08520,-10116,-10106.2,GSE60143
289,TFFM0275,1,MA1226,1,At5g18450,-1361.9,-1269.14,GSE60143
290,TFFM0276,1,MA1389,1,At5g29000,-11649.7,-11602,GSE60143
291,TFFM0277,1,MA1163,1,AT5G45580,-21936.5,-21760.5,GSE60143
292,TFFM0278,1,MA1398,1,At5g47390,-28860.5,-28379,GSE60143
293,TFFM0279,1,MA1183,1,At5g52660,-6480.35,-6632.36,GSE60143
294,TFFM0280,1,MA1195,1,AT5G56840,-17968.7,-17780.7,GSE60143
295,TFFM0281,1,MA1189,1,AT5G61620,-9457.29,-8750.27,GSE60143
296,TFFM0282,1,MA0983,1,DOF5.6,-9595.01,-7057.36,GSE60143
297,TFFM0283,1,MA1267,1,AT5G66940,-5278.49,-4811.74,GSE60143
298,TFFM0284,1,MA1212,1,ATHB13,-41624.1,-40865.2,GSE60143
299,TFFM0285,1,MA1026,2,ATHB15,-11414.3,-11383.6,GSE60143
