#uniacc,domains,threshold
Q00653;MA0778.1;NFKB2
P15863;MA0779.1;PAX1
P23760;MA0780.1;PAX3
P55771;MA0781.1;PAX9
P55347;MA0782.1;PKNOX1
Q96KN3;MA0783.1;PKNOX2
P28069;MA0784.1;POU1F1
P14859;MA0785.1;POU2F1
Q03052;MA0786.1;POU3F1
P20265;MA0787.1;POU3F2
P20264;MA0788.1;POU3F3
P49335;MA0789.1;POU3F4
Q01851;MA0790.1;POU4F1
Q15319;MA0791.1;POU4F3
Q06416;MA0792.1;POU5F1B
P78424;MA0793.1;POU6F2
Q92786;MA0794.1;PROX1
P84022;MA0795.1;SMAD3
Q15583;MA0796.1;TGIF1
Q9GZN2;MA0797.1;TGIF2
P48380;MA0798.1;RFX3
Q33E94;MA0799.1;RFX4
O95936;MA0800.1;EOMES
Q8IWI9;MA0801.1;MGA
Q16650;MA0802.1;TBR1
Q96SF7;MA0803.1;TBX15
O60806;MA0804.1;TBX19
O43435;MA0805.1;TBX1
P57082;MA0806.1;TBX4
Q99593;MA0807.1;TBX5
Q99594;MA0808.1;TEAD3
Q15561;MA0809.1;TEAD4
P05549;MA0810.1;TFAP2A(var.2)
Q92481;MA0811.1;TFAP2B
Q92481;MA0812.1;TFAP2B(var.2)
Q92481;MA0813.1;TFAP2B(var.3)
Q92754;MA0814.1;TFAP2C(var.2)
Q92754;MA0815.1;TFAP2C(var.3)
O35885;MA0816.1;Ascl2
Q8NDY6;MA0817.1;BHLHE23
Q8NFJ8;MA0818.1;BHLHE22
O15516;MA0819.1;CLOCK
Q6QHK4;MA0820.1;FIGLA
Q5TA89;MA0821.1;HES5
Q9BYE0;MA0822.1;HES7
Q9Y5J3;MA0823.1;HEY1
P47928;MA0824.1;ID4
Q99583;MA0825.1;MNT
Q8TAK6;MA0826.1;OLIG1
Q7RTU3;MA0827.1;OLIG3
Q12772;MA0828.1;SREBF2(var.2)
Q9WTN3;MA0829.1;Srebf1(var.2)
P15884;MA0830.1;TCF4
P19532;MA0831.1;TFE3
O35437;MA0832.1;Tcf21
P18848;MA0833.1;ATF4
P17544;MA0834.1;ATF7
Q9NR55;MA0835.1;BATF3
P49716;MA0836.1;CEBPD
Q15744;MA0837.1;CEBPE
P53567;MA0838.1;CEBPG
Q96BA8;MA0839.1;CREB3L1
Q8K1L0;MA0840.1;Creb5
Q16621;MA0841.1;NFE2
P54845;MA0842.1;NRL
Q10587;MA0843.1;TEF
P17861;MA0844.1;XBP1
Q99853;MA0845.1;FOXB1
Q99958;MA0846.1;FOXC2
O60548;MA0847.1;FOXD2
P98177;MA0848.1;FOXO4
A8MYZ6;MA0849.1;FOXO6
B7ZLG1;MA0850.1;FOXP3
Q8BUR3;MA0851.1;Foxj3
P42128;MA0852.1;Foxk1
O35137;MA0853.1;Alx4
Q8C8B0;MA0854.1;Alx1
P28702;MA0855.1;RXRB
P48443;MA0856.1;RXRG
P22605;MA0857.1;Rarb
P22605;MA0858.1;Rarb(var.2)
P18911;MA0859.1;Rarg
P18911;MA0860.1;Rarg(var.2)
O15350;MA0861.1;TP73
Q9UKD1;MA0862.1;GMEB2
Q14872;MA0863.1;MTF1
Q14209;MA0864.1;E2F2
A0AVK6;MA0865.1;E2F8
Q9Y651;MA0866.1;SOX21
Q06945;MA0867.1;SOX4
P57073;MA0868.1;SOX8
Q7M6Y2;MA0869.1;Sox11
P53783;MA0870.1;Sox1
O14948;MA0871.1;TFEC
P05549;MA0872.1;TFAP2A(var.3)
P35452;MA0873.1;HOXD12
O35085;MA0874.1;Arx
Q9HBU1;MA0875.1;BARX1
Q3C1V8;MA0876.1;BSX
P63157;MA0877.1;Barhl1
P47902;MA0878.1;CDX1
Q64317;MA0879.1;Dlx1
Q64205;MA0880.1;Dlx3
P70436;MA0881.1;Dlx4
P56179;MA0882.1;DLX6
Q91ZK4;MA0883.1;Dmbx1
A6NLW8;MA0884.1;DUXA
P40764;MA0885.1;Dlx2
Q04743;MA0886.1;EMX2
P49640;MA0887.1;EVX1
Q03828;MA0888.1;EVX2
Q14549;MA0889.1;GBX1
P52951;MA0890.1;GBX2
O15499;MA0891.1;GSC2
A4IFQ3;MA0892.1;GSX1
Q9BZM3;MA0893.1;GSX2
Q9UBX0;MA0894.1;HESX1
Q6NT76;MA0895.1;HMBOX1
O70218;MA0896.1;Hmx1
P43687;MA0897.1;Hmx2
P42581;MA0898.1;Hmx3
P31260;MA0899.1;HOXA10
O43364;MA0900.1;HOXA2
Q92826;MA0901.1;HOXB13
P14652;MA0902.1;HOXB2
P14651;MA0903.1;HOXB3
P09079;MA0904.1;Hoxb5
Q9NYD6;MA0905.1;HOXC10
P31275;MA0906.1;HOXC12
P31276;MA0907.1;HOXC13
P31277;MA0908.1;HOXD11
P35453;MA0909.1;HOXD13
P23463;MA0910.1;Hoxd8
P31270;MA0911.1;Hoxa11
P09027;MA0912.1;Hoxd3
P28357;MA0913.1;Hoxd9
Q96A47;MA0914.1;ISL2
Q9W268;MA0915.1;dve
P29776;MA0916.1;Ets21C
Q9VLA2;MA0917.1;gcm2
A8WL06;MA0918.1;unc-62
A8X4D9;MA0919.1;dsc-1
A8XJN7;MA0920.1;fkh-2
O45080;MA0921.1;ceh-48
Q94126;MA0922.1;ces-2
G5EEA1;MA0923.1;lim-4
P34766;MA0924.1;pal-1
P45897;MA0925.1;sma-4
P13528;MA0926.1;unc-86
Q93899;MA0927.1;vab-7
V6CLN5;MA0928.1;zfh-2
Q7RY86;MA0929.1;NCU00019
Q9M7Q3;MA0930.1;ABF3
Q9SJN0;MA0931.1;ABI5
Q8LPN5;MA0932.1;AHL12
Q8GWQ2;MA0933.1;AHL20
Q6DBQ1;MA0934.1;AHL25
Q8GY42;MA0935.1;NAC025
Q9SQQ6;MA0936.1;T11I18.17
Q9LDY8;MA0937.1;NAC055
Q9LS50;MA0938.1;NAC058
Q9FLR3;MA0939.1;NAC080
P35631;MA0940.1;AP1
Q9M7Q4;MA0941.1;ABF2
Q8L7G0;MA0942.1;ARF1
P93024;MA0943.1;ARF5
Q9FGV1;MA0944.1;ARF8
Q940D0;MA0945.1;ARR1
Q9FXD6;MA0946.1;ARR11
Q8L9Y3;MA0947.1;ARR14
Q9FGT7;MA0948.1;ARR18
Q9ZWJ9;MA0949.1;ARR2
Q9M276;MA0950.1;ATHB-12
Q940J1;MA0951.1;ATHB-16
Q9LZR0;MA0952.1;ATHB-51
P46668;MA0953.1;ATHB-6
P46897;MA0954.1;ATHB-7
B9GPL8;MA0955.1;POPTR_0002s00440g
Q93VJ4;MA0956.1;BEE2
O23487;MA0957.1;BHLH3
Q9LNJ5;MA0958.1;BHLH13
Q9ZPY8;MA0959.1;AIB
Q8L467;MA0960.1;BHLH104
Q94JL3;MA0961.1;BHLH112
Q9LTC7;MA0962.1;BHLH34
Q9FJL4;MA0963.1;BHLH78
Q9LEZ3;MA0964.1;BIM1
Q9CAA4;MA0965.1;BIM2
Q9FMB6;MA0966.1;BIM3
Q9C7S0;MA0967.1;BZIP60
Q84LG2;MA0968.1;bZIP68
Q6NPP4;MA0969.1;CMTA2
Q8GSA7;MA0970.1;CMTA3
Q9M0L0;MA0971.1;DREB1A
P92973;MA0972.1;CCA1
Q93ZL5;MA0973.1;CDF2
Q8LFV3;MA0974.1;CDF3
Q9SUQ2;MA0975.1;CRF2
Q9SUE3;MA0976.1;CRF4
Q9ZPY0;MA0977.1;DOF2.5
Q9SGJ6;MA0978.1;DREB1E
O22174;MA0979.1;ERF008
Q9SW63;MA0980.1;RAP2-10
Q84JQ8;MA0981.1;DOF1.8
O80928;MA0982.1;DOF2.4
Q9FM03;MA0983.1;DOF5.6
Q9LSL6;MA0984.1;DOF5.7
Q9SYS6;MA0985.1;DRE1C
Q8LFR2;MA0986.1;DREB2C
A9T5V8;MA0987.1;PHYPADRAFT_140773
A9TDF9;MA0988.1;PHYPADRAFT_143875
A9TZW5;MA0989.1;PHYPADRAFT_153324
Q9FX31;MA0990.1;EDT1
O24606;MA0991.1;EIN3
O80340;MA0992.1;ERF4
Q9LDE4;MA0993.1;ERF7
Q9MAI5;MA0994.1;ERF8
Q9SUK8;MA0995.1;ERF039
Q9M080;MA0996.1;ERF043
Q8W4I5;MA0997.1;ERF069
Q9LSX0;MA0998.1;ERF096
Q9LTC5;MA0999.1;ERF098
Q8VY90;MA1000.1;ERF105
Q9C5I3;MA1001.1;ERF11
P93007;MA1002.1;ERF112
Q9LY29;MA1003.1;ERF115
Q8L9K1;MA1004.1;ERF13
O80339;MA1005.1;ERF3
Q8VZ91;MA1006.1;ERF6
A9U3V6;MA1007.1;PHYPADRAFT_173530
A9S898;MA1008.1;PHYPADRAFT_182268
O23661;MA1009.1;ARF3
A9RC32;MA1010.1;PHYPADRAFT_64121
A9RZ73;MA1011.1;PHYPADRAFT_72483
Q9AT76;MA1012.1;AGL27
Q8VZP4;MA1013.1;GATA10
Q6DBP8;MA1014.1;GATA11
P69781;MA1015.1;GATA12
Q8LG10;MA1016.1;GATA15
Q9SV30;MA1017.1;GATA8
O82632;MA1018.1;GATA9
I1N7U7;MA1019.1;Glyma19g26560.1
Q9FX53;MA1020.1;GT-1
A9TN45;MA1021.1;PHYPADRAFT_48267
A9TZG0;MA1022.1;PHYPADRAFT_38837
A9RGN0;MA1023.1;PHYPADRAFT_28324
P46600;MA1024.1;HAT1
Q9ZPW3;MA1025.1;HBI1
Q9ZU11;MA1026.1;ATHB-15
Q93WJ9;MA1027.1;KAN1
Q9FJV5;MA1028.1;KAN4
Q9SLB7;MA1029.1;LBD16
Q5N9C9;MA1030.1;P0510F09.23
Q6H878;MA1031.1;OJ1581_H09.2
Q6EP77;MA1032.1;DREB1G
Q75HX9;MA1033.1;OJ1058_F05.8
Q75K84;MA1034.1;Os05g0497200
Q8LPR5;MA1035.1;TCP4
Q9FJ07;MA1036.1;MYB111
Q9SPG9;MA1037.1;MYB24
Q9S9K9;MA1038.1;MYB3
Q9SZP1;MA1039.1;MYB4
Q9LXV2;MA1040.1;MYB46
Q9M118;MA1041.1;MYB55
Q4JL84;MA1042.1;MYB59
Q9FY93;MA1043.1;NAC083
Q9FKA0;MA1044.1;NAC92
Q84WP6;MA1045.1;NAC043
F4JN35;MA1046.1;NTL9
Q39163;MA1047.1;TGA5
Q9S7L5;MA1048.1;ERF018
Q9LND1;MA1049.1;ERF094
A2X7K8;MA1050.1;OsI_08196
P42736;MA1051.1;RAP2-3
Q7G1L2;MA1052.1;RAP2-6
Q9SZ06;MA1053.1;ERF109
D7L3Y2;MA1054.1;ARALYDRAFT_897773
Q9SMX9;MA1055.1;SPL1
Q9FZK0;MA1056.1;SPL11
Q9S7P5;MA1057.1;SPL12
Q9S7A9;MA1058.1;SPL4
Q9S758;MA1059.1;SPL5
Q8S9G8;MA1060.1;SPL7
Q9FUA4;MA1061.1;SPT
Q9C9L2;MA1062.1;TCP15
Q9LT89;MA1063.1;TCP19
Q93V43;MA1064.1;TCP2
Q9LSD5;MA1065.1;TCP20
Q9LQF0;MA1066.1;TCP23
Q9FME3;MA1067.1;TCP5
P43273;MA1068.1;TGA2
Q39140;MA1069.1;TGA6
Q93ZE2;MA1070.1;TGA7
Q84TE9;MA1071.1;DOF5.3
Q9LVG2;MA1072.1;TOE2
Q9FJW5;MA1073.1;TRB2
Q8GZ38;MA1074.1;UNE10
Q93WY4;MA1075.1;WRKY12
O22176;MA1076.1;WRKY15
Q9C5T4;MA1077.1;WRKY18
Q9FG77;MA1078.1;WRKY2
O04336;MA1079.1;WRKY21
O22900;MA1080.1;WRKY23
O22921;MA1081.1;WRKY25
Q9FLX8;MA1082.1;WRKY27
Q9FL62;MA1083.1;WRKY30
Q8GWF1;MA1084.1;WRKY38
Q9SAH7;MA1085.1;WRKY40
Q8GY11;MA1086.1;WRKY43
Q9S763;MA1087.1;WRKY45
Q9FGZ4;MA1088.1;WRKY48
Q9C983;MA1089.1;WRKY57
Q9SK33;MA1090.1;WRKY60
Q9LZV6;MA1091.1;WRKY62
Q9C6H5;MA1092.1;WRKY63
Q9FYA2;MA1093.1;WRKY75
Q9FL26;MA1094.1;WRKY8
D7MRK3;MA1095.1;ARALYDRAFT_495258
D7MUG0;MA1096.1;ARALYDRAFT_496250
D7MCT1;MA1097.1;ARALYDRAFT_493022
D7LRC3;MA1098.1;ARALYDRAFT_484486
P35428;MA1099.1;Hes1
